,answer,question
128,What is the status of the implementation of water resources management policies in the world?,"The implementation of water resources management is particularly slow. To achieve this in 2030, the area of revenue must raise sustainable financing."
129,Where is the deficit in electricity concentrated?,The deficit is increasingly concentrated in Sub-Saharan Africa
130,How many health facilities surveyed were not electrified?,One quarter of health facilities surveyed were not electrified
131,How many people still lack access to electricity in 2030?,620 millions people would still lack access to electricity in 2030
132,How many people do not have access to clean cooking fuels and technologies?,Approximately 2.8 billions people remain without access.
133,What can affect human health and the environment from an energy perspective?,Slow progress towards clean cooking solutions.
134,What is the region with the highest share of renewable energy from total energy consumption?,"Sub-Saharan Africa, due to traditional uses of biomass."
135,What can be improved to reach the global climate goal of reducing greenhouse gas emissions?,Improving energy efficiency
136,What are the preliminary estimates of energy intensity in recent years?,Preliminary estimates increased up to 2.0 percent in the last 2 years.
137,What have been the policies to support the development of clean energy?,Investments of 21.4 billion dollars of international public financial flows to developing countries in support of clean and renewable energy.
138,What are the projects with the highest percentage of investment in energy sector?,The hydropower projects
139,What are the areas with most adverse impacts on labour market?,"Workers in informal employment, the self-employed, daily wage earners and workers in sectors at the highest risk of disruption."
140,What is the global average output per worker?,It is a measure of labour productivity.
141,What can adversely affect labor productivity in 2020?,The global reduction in working hours and the economic decline caused by the coronavirus.
142,What did the world as a whole witnessed despite large labour disparities across regions?,"The world as a whole witnessed rising labour productivity and improved unemployment rates, despite large disparities across regions."
143,How many workers were in informal employment in 2016?,61 per cent of workers
144,What can be affected negatively by informality,"Informality has a negative impact on earnings, working time, occupational safety and health, and working conditions generally."
145,Which sector has the informal employment more widespread?,the agricultural sector
146,What are the regions with the highest rate unemployed labour force?,Northern Africa and Western Asia
147,How many countries from surveyed countries have higher unemployment rate for persons with disabilities?,Only 40 countries
148,"According to the origin of the person, who are the people exposed to more risks and hazards at work?",Migrant people
149,What is essential to protect the safety of workers?,Implementing adequate health and safety measures and promoting supportive working environments.
150,What are the key goals for industry?,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation"
151,How was industry before covid?,Manufacturing growth was declining due to tariffs and trade tensions
152,What are some covid implications?,The aviation industry has suffered thesteepest declinein history
153,How much of industries have access to credit in developing countries?,Only third five percent
154,Where does industry need investment?,Investment in R&D is growing but needs to accelerate
155,Who have suffered the steepest decline in its history?,The aviation industry
156,How much of aircrafts were grounded?,Were grounded about ninety per cent of fleets
157,What the aviation needs to recover?,It will require a coordinated global effort
158,The slowdown affected which regions?,All regions and country groups
159,What is the world’s largest manufacturer?,China
